trade_date,code,name,rank
2025-12-31,300058,蓝色光标,1
2025-12-31,002131,利欧股份,2
2025-12-31,600879,航天电子,3
2025-12-31,600118,中国卫星,4
2025-12-31,300136,信维通信,5
2025-12-31,601888,中国中免,6
2025-12-31,600498,烽火通信,7
2025-12-31,002709,天赐材料,8
2025-12-31,002565,顺灏股份,9
2025-12-31,002151,北斗星通,10
2025-12-31,002792,通宇通讯,11
2025-12-31,301687,N新广益,12
2025-12-31,002735,王子新材,13
2025-12-31,300102,乾照光电,14
2025-12-31,688809,C强一,15
2025-12-31,600629,华建集团,16
2025-12-31,300751,迈为股份,17
2025-12-31,000063,中兴通讯,18
2025-12-31,000021,深科技,19
2025-12-31,300773,拉卡拉,20
2025-12-31,300418,昆仑万维,21
2025-12-31,600895,张江高科,22
2025-12-31,300170,汉得信息,23
2025-12-31,300857,协创数据,24
2025-12-31,300762,上海瀚讯,25
2025-12-31,000725,京东方Ａ,26
2025-12-31,301005,超捷股份,27
2025-12-31,600362,江西铜业,28
2025-12-31,002149,西部材料,29
2025-12-31,300516,久之洋,30
2025-12-31,600501,航天晨光,31
2025-12-31,000547,航天发展,32
2025-12-31,002757,南兴股份,33
2025-12-31,600363,联创光电,34
2025-12-31,000559,万向钱潮,35
2025-12-31,600391,航发科技,36
2025-12-31,002413,雷科防务,37
2025-12-31,603533,掌阅科技,38
2025-12-31,002465,海格通信,39
2025-12-31,002371,北方华创,40
