code,name,rank,trade_date,run_time
300058,蓝色光标,1.0,2025-12-31,2026-01-03 00:27:09
002131,利欧股份,2.0,2025-12-31,2026-01-03 00:27:09
600879,航天电子,3.0,2025-12-31,2026-01-03 00:27:09
600118,中国卫星,4.0,2025-12-31,2026-01-03 00:27:09
300136,信维通信,5.0,2025-12-31,2026-01-03 00:27:09
601888,中国中免,6.0,2025-12-31,2026-01-03 00:27:09
600498,烽火通信,7.0,2025-12-31,2026-01-03 00:27:09
002709,天赐材料,8.0,2025-12-31,2026-01-03 00:27:09
002565,顺灏股份,9.0,2025-12-31,2026-01-03 00:27:09
002151,北斗星通,10.0,2025-12-31,2026-01-03 00:27:09
300058,蓝色光标,1.0,2025-12-31,2026-01-03 00:28:15
002131,利欧股份,2.0,2025-12-31,2026-01-03 00:28:15
600879,航天电子,3.0,2025-12-31,2026-01-03 00:28:15
600118,中国卫星,4.0,2025-12-31,2026-01-03 00:28:15
300136,信维通信,5.0,2025-12-31,2026-01-03 00:28:15
601888,中国中免,6.0,2025-12-31,2026-01-03 00:28:15
600498,烽火通信,7.0,2025-12-31,2026-01-03 00:28:15
002709,天赐材料,8.0,2025-12-31,2026-01-03 00:28:15
002565,顺灏股份,9.0,2025-12-31,2026-01-03 00:28:15
002151,北斗星通,10.0,2025-12-31,2026-01-03 00:28:15
000725,京东方Ａ,1.0,2026-01-05,2026-01-05 20:48:36
603402,N陕旅,2.0,2026-01-05,2026-01-05 20:48:36
300059,东方财富,3.0,2026-01-05,2026-01-05 20:48:36
603799,华友钴业,4.0,2026-01-05,2026-01-05 20:48:36
000620,盈新发展,5.0,2026-01-05,2026-01-05 20:48:36
002371,北方华创,6.0,2026-01-05,2026-01-05 20:48:36
300476,胜宏科技,7.0,2026-01-05,2026-01-05 20:48:36
000100,TCL科技,8.0,2026-01-05,2026-01-05 20:48:36
002703,浙江世宝,9.0,2026-01-05,2026-01-05 20:48:36
300429,强力新材,10.0,2026-01-05,2026-01-05 20:48:36
000725,京东方Ａ,1.0,2026-01-05,2026-01-05 20:48:59
603402,N陕旅,2.0,2026-01-05,2026-01-05 20:48:59
300059,东方财富,3.0,2026-01-05,2026-01-05 20:48:59
603799,华友钴业,4.0,2026-01-05,2026-01-05 20:48:59
000620,盈新发展,5.0,2026-01-05,2026-01-05 20:48:59
002371,北方华创,6.0,2026-01-05,2026-01-05 20:48:59
300476,胜宏科技,7.0,2026-01-05,2026-01-05 20:48:59
000100,TCL科技,8.0,2026-01-05,2026-01-05 20:48:59
002703,浙江世宝,9.0,2026-01-05,2026-01-05 20:48:59
300429,强力新材,10.0,2026-01-05,2026-01-05 20:48:59
000725,京东方Ａ,1.0,2026-01-05,2026-01-05 22:47:05
603402,N陕旅,2.0,2026-01-05,2026-01-05 22:47:05
300059,东方财富,3.0,2026-01-05,2026-01-05 22:47:05
603799,华友钴业,4.0,2026-01-05,2026-01-05 22:47:05
000620,盈新发展,5.0,2026-01-05,2026-01-05 22:47:05
002371,北方华创,6.0,2026-01-05,2026-01-05 22:47:05
300476,胜宏科技,7.0,2026-01-05,2026-01-05 22:47:05
