Code,ROE_Pct,5D_Return,7D_Return,Volume_Ratio,Price/High,Appearances_7D,Level,run_time
600498,,0.156,0.124,1.21,0.79,1,1,2026-01-03 00:27:56
002151,,0.216,0.247,2.77,0.57,1,1,2026-01-03 00:27:56
600118,,0.436,0.496,1.3,1.0,1,2,2026-01-03 00:27:56
300136,,0.386,0.591,1.98,0.96,1,2,2026-01-03 00:27:56
600498,,0.156,0.124,1.21,0.79,1,1,2026-01-03 00:28:56
002151,,0.216,0.247,2.77,0.57,1,1,2026-01-03 00:28:56
600118,,0.436,0.496,1.3,1.0,1,2,2026-01-03 00:28:56
300136,,0.386,0.591,1.98,0.96,1,2,2026-01-03 00:28:56
300059,,0.064,0.082,1.65,0.84,2,1,2026-01-06 11:14:17
600879,,0.229,0.414,1.08,1.0,2,2,2026-01-06 11:14:17
300059,,0.051,0.051,1.88,0.82,2,1,2026-01-07 11:21:27
600879,,0.23,0.274,1.05,0.99,2,2,2026-01-07 11:21:27
002340,,0.166,0.174,2.4,0.69,1,1,2026-01-07 11:25:28
300604,,0.188,0.185,1.32,1.0,1,1,2026-01-07 11:25:28
600111,,0.103,0.097,2.08,0.84,1,1,2026-01-07 11:25:28
000547,,0.185,0.434,1.25,1.0,1,2,2026-01-07 11:25:28
002792,,0.226,0.365,1.09,1.0,1,2,2026-01-07 11:25:28
002340,,0.166,0.174,2.4,0.69,1,1,2026-01-07 18:40:53
300604,,0.188,0.185,1.32,1.0,1,1,2026-01-07 18:40:53
600111,,0.103,0.097,2.08,0.84,1,1,2026-01-07 18:40:53
000547,,0.185,0.434,1.25,1.0,1,2,2026-01-07 18:40:53
002792,,0.226,0.365,1.09,1.0,1,2,2026-01-07 18:40:53
002340,,0.166,0.174,2.4,0.69,1,1,2026-01-07 18:43:30
300604,,0.188,0.185,1.32,1.0,1,1,2026-01-07 18:43:30
600111,,0.103,0.097,2.08,0.84,1,1,2026-01-07 18:43:30
000547,,0.185,0.434,1.25,1.0,1,2,2026-01-07 18:43:30
002792,,0.226,0.365,1.09,1.0,1,2,2026-01-07 18:43:30
600879,,0.346,0.339,0.95,1.0,3,2,2026-01-08 18:56:26
600879,,0.346,0.339,0.95,1.0,3,2,2026-01-08 19:46:17
600967,,0.135,0.146,3.28,0.65,1,1,2026-01-08 19:47:00
600879,,0.346,0.339,0.95,1.0,1,2,2026-01-08 19:47:00
002195,,0.494,0.511,4.14,1.0,1,2,2026-01-08 19:47:00
600879,,0.346,0.488,0.97,1.0,3,2,2026-01-10 17:13:22
300058,,0.491,0.915,2.59,1.0,2,2,2026-01-10 17:13:22
002131,,0.323,0.463,4.79,1.0,2,2,2026-01-10 17:13:22
000547,,0.145,0.219,1.04,1.0,2,1,2026-01-11 16:15:38
002340,,0.049,0.096,2.75,0.65,2,1,2026-01-11 16:15:38
300604,,0.22,0.166,1.27,0.98,2,1,2026-01-11 16:15:38
600111,,0.071,0.08,2.61,0.82,2,1,2026-01-11 16:15:38
600879,,0.346,0.488,0.97,1.0,3,2,2026-01-11 16:15:38
002792,,0.423,0.431,0.87,1.0,2,2,2026-01-11 16:15:38
000547,,0.145,0.219,1.04,1.0,2,1,2026-01-11 16:28:33
002340,,0.049,0.096,2.75,0.65,2,1,2026-01-11 16:28:33
300604,,0.22,0.166,1.27,0.98,2,1,2026-01-11 16:28:33
